assumption_id,sector,route_id,parameter_group,parameter_name,model_input_role,unit,low,base,high,value_type,case_orientation,price_year,currency,formula_or_method,source_id,source_location,rationale,quality_flag,boundary_note
CG_ST_SCRAP_FOPEX,steel,steel_scrap_eaf,resource_proxy,incremental_fixed_opex_fraction_of_transition_capex,annual_fixed_opex_proxy,fraction/year,0.010,0.020,0.030,Estimated,cost_low_base_high,2025,USD,"annual fixed OPEX proxy = transition CAPEX * fraction",POSCO_CLIMATE_2026,POSCO EAF transition context,"Analyst screening range pending facility-specific fixed O&M",D,"Incremental proxy; excludes energy and scrap included in the variable-resource term"
CG_ST_SCRAP_VARIABLE,steel,steel_scrap_eaf,resource_proxy,incremental_variable_resource_cost_per_operational_tco2e_abated,annual_variable_resource_gap_proxy,USD_2025/tCO2e_operational_abatement,-10,10,40,Estimated,cost_low_base_high,2025,USD,"annual variable resource gap = modelled operational abatement * value",POSCO_CLIMATE_2026,POSCO EAF transition context,"Analyst proxy spanning energy saving to scrap and clean-power premium",D,"Negative low case denotes resource saving; not system-abatement cost"
CG_ST_SCRAP_CARBON,steel,steel_scrap_eaf,verified_market_policy,verified_avoided_actual_carbon_cost_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:policy_incentives.csv,DATA_CATALOG.md section 10,"Korean ETS allocation surrender and facility eligibility not yet acquired",NA,"Unknown is not zero; GCAM shadow prices are excluded"
CG_ST_SCRAP_PREMIUM,steel,steel_scrap_eaf,verified_market_policy,verified_realised_green_premium_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:contract_register,PROJECT_PLAN.md section 10.1,"No verified route- and facility-specific contract cash effect acquired",NA,"Unknown is not zero; announced demand is not realised cash"
CG_ST_SCRAP_SUPPORT,steel,steel_scrap_eaf,verified_market_policy,verified_support_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:policy_incentives.csv,DATA_CATALOG.md section 10,"No verified realised facility support acquired",NA,"Unknown is not zero; programme availability is not cash realisation"
CG_ST_SCRAP_STRESS,steel,steel_scrap_eaf,support_stress,support_stress_share_of_annual_resource_gap,screening_support_sensitivity,fraction,0,0.10,0.25,Estimated,independent_support_axis,not_applicable,not_applicable,"stress-adjusted gap = annual resource gap - max(annual resource gap,0) * support share",internal_method:B0_BH_BL_BHL,Run 5 mechanism assumptions,"Independent modest support sensitivity for price-conditional EAF screening",D,"Not verified support and never reported as realised net gap"
CG_ST_EFF_LIFE,steel,steel_eaf_efficiency,resource_proxy,transition_lifetime_years,annualise_transition_capex,year,15,12,10,Estimated,cost_low_base_high,not_applicable,not_applicable,"cost-low/base/high cases use 15/12/10 years respectively",internal_method:PROJECT_PLAN.md#10.2,PROJECT_PLAN.md section 10.2,"Shorter retrofit analytical life than new-build routes",D,"Analytical life; not an announced asset life"
CG_ST_EFF_RATE,steel,steel_eaf_efficiency,resource_proxy,real_discount_rate,annualise_transition_capex,fraction,0.03,0.05,0.07,Estimated,cost_low_base_high,not_applicable,not_applicable,"common real analytical discount rate sensitivity",internal_method:PROJECT_PLAN.md#4.5,PROJECT_PLAN.md section 4.5,"Pre-specified analytical rate; not company WACC or investor required return",D,"Common real rate only"
CG_ST_EFF_FOPEX,steel,steel_eaf_efficiency,resource_proxy,incremental_fixed_opex_fraction_of_transition_capex,annual_fixed_opex_proxy,fraction/year,0,0.010,0.020,Estimated,cost_low_base_high,2025,USD,"annual fixed OPEX proxy = transition CAPEX * fraction",NSC_DB_2025,Nippon facility and process context,"Analyst retrofit O&M screening range",D,"Incremental proxy; excludes variable energy effect"
CG_ST_EFF_VARIABLE,steel,steel_eaf_efficiency,resource_proxy,incremental_variable_resource_cost_per_operational_tco2e_abated,annual_variable_resource_gap_proxy,USD_2025/tCO2e_operational_abatement,-20,0,20,Estimated,cost_low_base_high,2025,USD,"annual variable resource gap = modelled operational abatement * value",NSC_DB_2025,Nippon facility and process context,"Analyst proxy spanning efficiency saving to incremental clean-power cost",D,"Negative low case denotes resource saving; not system-abatement cost"
CG_ST_EFF_CARBON,steel,steel_eaf_efficiency,verified_market_policy,verified_avoided_actual_carbon_cost_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:policy_incentives.csv,DATA_CATALOG.md section 10,"GX ETS eligibility allocation and cash effect not yet acquired",NA,"Unknown is not zero; GCAM shadow prices are excluded"
CG_ST_EFF_PREMIUM,steel,steel_eaf_efficiency,verified_market_policy,verified_realised_green_premium_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:contract_register,PROJECT_PLAN.md section 10.1,"No verified route- and facility-specific contract cash effect acquired",NA,"Unknown is not zero; announced demand is not realised cash"
CG_ST_EFF_SUPPORT,steel,steel_eaf_efficiency,verified_market_policy,verified_support_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:policy_incentives.csv,DATA_CATALOG.md section 10,"No verified realised facility support acquired",NA,"Unknown is not zero; programme availability is not cash realisation"
CG_ST_EFF_STRESS,steel,steel_eaf_efficiency,support_stress,support_stress_share_of_annual_resource_gap,screening_support_sensitivity,fraction,0,0.05,0.15,Estimated,independent_support_axis,not_applicable,not_applicable,"stress-adjusted gap = annual resource gap - max(annual resource gap,0) * support share",internal_method:B0_BH_BL_BHL,Run 5 mechanism assumptions,"Independent limited support sensitivity for efficiency retrofits",D,"Not verified support and never reported as realised net gap"
CG_PC_ELEC_LIFE,petrochemicals,petchem_electrified_cracker,resource_proxy,transition_lifetime_years,annualise_transition_capex,year,30,25,20,Estimated,cost_low_base_high,not_applicable,not_applicable,"cost-low/base/high cases use 30/25/20 years respectively",IEA_PETCHEM_COST_2018,IEA incumbent cracker technical life benchmark,"Electrified-cracker screening life centred on 25-year incumbent benchmark",D,"Applied to an incremental electrification proxy; not published project life"
CG_PC_ELEC_RATE,petrochemicals,petchem_electrified_cracker,resource_proxy,real_discount_rate,annualise_transition_capex,fraction,0.03,0.05,0.07,Estimated,cost_low_base_high,not_applicable,not_applicable,"common real analytical discount rate sensitivity",internal_method:PROJECT_PLAN.md#4.5,PROJECT_PLAN.md section 4.5,"Pre-specified analytical rate; not company WACC or investor required return",D,"Common real rate only"
CG_PC_ELEC_FOPEX,petrochemicals,petchem_electrified_cracker,resource_proxy,incremental_fixed_opex_fraction_of_transition_capex,annual_fixed_opex_proxy,fraction/year,0.025,0.0375,0.050,Estimated,cost_low_base_high,2025,USD,"annual fixed OPEX proxy = transition CAPEX * fraction",IEA_PETCHEM_COST_2018,IEA incumbent naphtha-cracker fixed OPEX benchmark,"Incumbent benchmark applied as electrification screening proxy",D,"Not a published electrified-cracker fixed OPEX estimate"
CG_PC_ELEC_VARIABLE,petrochemicals,petchem_electrified_cracker,resource_proxy,incremental_variable_resource_cost_per_operational_tco2e_abated,annual_variable_resource_gap_proxy,USD_2025/tCO2e_operational_abatement,30,80,160,Estimated,cost_low_base_high,2025,USD,"annual variable resource gap = modelled operational abatement * value",IEA_CTG_2026|IEA_PETCHEM_COST_2018,electrified heat readiness and incumbent energy benchmark,"Analyst proxy for electricity-fuel spread and variable O&M",D,"Not a published electrified-cracker cost and not system-abatement cost"
CG_PC_ELEC_CARBON,petrochemicals,petchem_electrified_cracker,verified_market_policy,verified_avoided_actual_carbon_cost_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:policy_incentives.csv,DATA_CATALOG.md section 10,"Facility carbon-allocation and realised compliance effects not yet acquired",NA,"Unknown is not zero; GCAM shadow prices are excluded"
CG_PC_ELEC_PREMIUM,petrochemicals,petchem_electrified_cracker,verified_market_policy,verified_realised_green_premium_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:contract_register,PROJECT_PLAN.md section 10.1,"No verified route- and facility-specific contract cash effect acquired",NA,"Unknown is not zero; announced demand is not realised cash"
CG_PC_ELEC_SUPPORT,petrochemicals,petchem_electrified_cracker,verified_market_policy,verified_support_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",MCI_WEST_JAPAN_2026,maximum subsidy application for a multi-company western-Japan project,"Project ceiling is not realised support and is not attributable to a modelled facility",NA,"Unknown is not zero; do not apply JPY 10.4bn as Mitsui-only support"
CG_PC_ELEC_STRESS,petrochemicals,petchem_electrified_cracker,support_stress,support_stress_share_of_annual_resource_gap,screening_support_sensitivity,fraction,0.30,0.490566,0.70,Estimated,independent_support_axis,not_applicable,not_applicable,"stress-adjusted gap = annual resource gap - max(annual resource gap,0) * support share",MCI_WEST_JAPAN_2026,JPY 10.4bn maximum application divided by JPY 21.2bn project investment,"Base stress anchored to a 49.1% capital-share ceiling then applied only as an annual-gap sensitivity",D,"Not realised support not a general subsidy rate and not a Mitsui-only attribution"
